catergory,title,date,time,where,url
기타,도서 [어쩌면 끝이 정해진 이야기라 해도] 증정이벤트,2018.06.26~2018.07.09,,,http://www.mimint.co.kr/
"뮤지컬,연극",연극 [운빨로맨스] 초대 이벤트,2018.06.20~2018.07.08,,,http://www.mimint.co.kr/
"뮤지컬,연극",가족뮤지컬 [어른동생] 초대 이벤트,2018.06.25~2018.07.05,,,http://www.mimint.co.kr/
기타,깜짝 롤렛 - 매직 스트링,2018.06.29~2018.07.03,,,http://www.mimint.co.kr/
기타,도서 [유기견 이뽕실은 어떻게 모범 강아지가 되었나요?] 이벤트,2018.06.20~2018.07.02,,,http://www.mimint.co.kr/
영화,영화 [잉글랜드 이즈 마인] 레트로 감성 예매권 이벤트,2018.06.20~2018.07.02,,,http://www.mimint.co.kr/
기타,도서 [날마다 그림] 기대평 이벤트,2018.06.18~2018.07.01,,,http://www.mimint.co.kr/
기타,깜짝 롤렛 - 아내 가뭄 4차,2018.06.28~2018.07.01,,,http://www.mimint.co.kr/
