catergory,title,date,time,where,url
"축제,행사",2018 부평뮤직데이 DAY2 <사운드 스트리트> ,2018.06.30~2018.06.30,(토) 오후 2시 ,"경기도부평 지하상가 중앙홀, 부평문화의거리 분수대, 창고 재즈펍, 부평 씽크빅 문고 ",https://www.ggcf.or.kr
"축제,행사",[종로문화재단]윤동주문학관 6월 감성문화콘서트 ,2018.06.30~2018.06.30,(토) 오후 7시 ,경기도윤동주문학관 시인의언덕 ,https://www.ggcf.or.kr
"축제,행사",인천아트플랫폼 기획공연 IAP 콜라보 스테이지 ,2018.07.07~2018.10.20,(토) 오후 4시 ,경기도인천아트플랫폼 ,https://www.ggcf.or.kr
"뮤지컬,연극",《실학연극소풍》 새.꿈.아 ,2018.07.14~2018.07.16,(토) 오후 3시 / (월) 오후 2시 30분 ,경기도실학박물관 ,https://www.ggcf.or.kr
"뮤지컬,연극",판소리동화시리즈 안데르센 ,2018.08.09~2018.08.11,"(목, 금) 오전 11시, 오후 3시 / (토) 오후 2시, 5시 ",경기도서울남산국악당 ,https://www.ggcf.or.kr
"뮤지컬,연극",애도하는 사람 悼む人 ,2018.06.12~2018.07.07,"(화~금) 오후 8시 / (토) 오후 3시,7시 / (일) 오후 4시 ",경기도두산아트센터 space111 ,https://www.ggcf.or.kr
"뮤지컬,연극",모차르트의 마법 바이올린 ,2018.07.11~2018.07.14,"(수, 목, 금) 오전 11시 / (토) 오전 11시, 오후 3시 ",경기도종로아이들극장 ,https://www.ggcf.or.kr
"뮤지컬,연극",금난새 클래식판타지아 Shiny Sunday ,2018.07.01~2018.07.01,(일) 오후 5시 ,경기도충무아트센터 ,https://www.ggcf.or.kr
"뮤지컬,연극",2018년 6월 소확행 토요문화마당 ,2018.06.09~2018.06.30,(토) 오후 7시 ,경기도용흥궁 ,https://www.ggcf.or.kr
"뮤지컬,연극",인천향교 달빛공감음악회 ,2018.06.15~2018.10.05,(금) 오후 7시 30분 ,경기도인천향교 ,https://www.ggcf.or.kr
"뮤지컬,연극",2018 키우피우 인형극축제 ,2018.06.21~2018.07.07,"(토) 오전11시, 오후 3시 ",경기도종로아이들극장 ,https://www.ggcf.or.kr
"뮤지컬,연극",붉은 정원 ,2018.06.29~2018.07.29,"(화~금) 오후 8시 / (토) 오후 3시, 7시 / (일) 2시, 오후 6시 ",경기도CJ아지트 ,https://www.ggcf.or.kr
"뮤지컬,연극",밤에피리;귀를 사로잡는 밤소리와 조합 ,2018.06.29~2018.07.01,(금) 오후 8시 / (토) 오후 5시 / (일) 오후 5시 ,경기도꿈의숲아트센터 ,https://www.ggcf.or.kr
"뮤지컬,연극","아리랑, 삶의노래 은평이야기 ",2018.06.30~2018.06.30,(토) 오후 4시 ,경기도은평문화예술회관 ,https://www.ggcf.or.kr
"뮤지컬,연극",《실학연극소풍》 새.꿈.아 ,2018.07.14~2018.07.16,(토) 오후 3시 / (월) 오후 2시 30분 ,경기도실학박물관 ,https://www.ggcf.or.kr
"뮤지컬,연극",애도하는 사람 悼む人 ,2018.06.12~2018.07.07,"(화~금) 오후 8시 / (토) 오후 3시,7시 / (일) 오후 4시 ",경기도두산아트센터 space111 ,https://www.ggcf.or.kr
"축제,행사",2018년 6월 소확행 토요문화마당 ,2018.06.09~2018.06.30,(토) 오후 7시 ,경기도용흥궁 ,https://www.ggcf.or.kr
"축제,행사",인천향교 달빛공감음악회 ,2018.06.15~2018.10.05,(금) 오후 7시 30분 ,경기도인천향교 ,https://www.ggcf.or.kr
"축제,행사",[종로문화재단] 무계원 <가무별감 박춘재의 황제를 위한 콘서트 5> ,2018.06.16~2018.07.07,(토) 오후 5시 30분 ,경기도무계원 ,https://www.ggcf.or.kr
"축제,행사","2018년 2,3차 군포아트마켓 ",2018.05.26~2018.06.30,(토) 오전 10시 ,경기도군포 문화의거리 ,https://www.ggcf.or.kr
"축제,행사",예술의전당 싹페스타(SAC FESTA) 안내 ,2018.05.05~2018.09.29,(토) 오후 6시 30분 ,경기도예술의전당 ,https://www.ggcf.or.kr
"축제,행사","2018문화가 있는 날, 윤동주문학관 [감성문화 콘서트] ",2018.05.26~2018.09.29,(토) 오후 7시 ,경기도윤동주문학관(시인의 언덕) ,https://www.ggcf.or.kr
"축제,행사",충무로 뮤지컬 영화제 ,2018.07.06~2018.07.15,,경기도충무아트센터 ,https://www.ggcf.or.kr
"축제,행사",2018 안양 돗자리영화관 ,2018.05.19~2018.08.25,(토) 오후 7시 30분 ,경기도병목안시민공원 ,https://www.ggcf.or.kr
